workload,input,delivery,frames,payload_bytes,readers,groups_per_sample,ns_per_frame,allocations,requested_bytes,peak_live_bytes,cached_live_bytes,retained_live_bytes,retained_payload_bytes,wakes
fixed-1048576,Owned,Fanout,8,8388608,8,1,1812.12,68,15108,13892,13828,0,64,72
fixed-1048576,StreamOwned,Backlog,8,8388608,1,1,583.62,45,7524,6316,6244,0,64,0
fixed-1048576,StreamOwned,Live,8,8388608,1,1,723.88,54,7844,6524,6524,88,64,25
fixed-1048576,StreamOwned,Fanout,8,8388608,8,1,2806.50,156,17732,13996,13916,88,64,200
fixed-1048576,Split,Backlog,8,8388608,1,1,241995.25,61,8396260,8395556,8395556,1048664,64,0
fixed-1048576,Split,Live,8,8388608,1,1,217470.38,78,8396708,8395764,8395764,1048664,64,33
fixed-1048576,Split,Fanout,8,8388608,8,1,211510.38,244,8408004,8403220,8403156,1048664,64,264
fixed-1048576,Chunk1200,Backlog,8,8388608,1,1,250972.12,61,8396260,8395556,8395556,1048664,64,0
fixed-1048576,Chunk1200,Live,8,8388608,1,1,326168.62,7054,8508324,8395764,8395764,1048664,64,7009
fixed-1048576,Chunk1200,Fanout,8,8388608,8,1,671815.12,63028,9747396,8403220,8403156,1048664,64,56072
fixed-1048576,Chunk16k,Backlog,8,8388608,1,1,211361.50,61,8396260,8395556,8395556,1048664,64,0
fixed-1048576,Chunk16k,Live,8,8388608,1,1,216159.12,574,8404644,8395764,8395764,1048664,64,529
fixed-1048576,Chunk16k,Fanout,8,8388608,8,1,245724.75,4708,8503236,8403220,8403156,1048664,64,4232
mixed-audio,Owned,Backlog,50,19000,1,40,216.79,40,12324,8932,8932,0,64,0
mixed-audio,Owned,Live,50,19000,1,40,283.17,41,12516,9124,9124,0,64,51
mixed-audio,Owned,Fanout,50,19000,8,40,1394.44,113,23172,16580,16516,0,64,408
mixed-audio,StreamOwned,Backlog,50,19000,1,40,330.95,90,15924,9004,8932,0,64,0
mixed-audio,StreamOwned,Live,50,19000,1,40,552.33,141,16916,9212,9212,88,64,151
mixed-audio,StreamOwned,Fanout,50,19000,8,40,2266.20,663,39572,16684,16604,88,64,1208
mixed-audio,Split,Backlog,50,19000,1,40,495.91,156,49620,46228,46228,16504,64,0
mixed-audio,Split,Live,50,19000,1,40,686.52,257,51412,46436,46436,16504,64,201
mixed-audio,Split,Fanout,50,19000,8,40,2732.91,1179,82868,53892,53828,16504,64,1608
mixed-audio,Chunk1200,Backlog,50,19000,1,40,374.85,190,36124,29204,29132,1024,64,0
mixed-audio,Chunk1200,Live,50,19000,1,40,574.49,241,37116,29412,29412,1112,64,151
mixed-audio,Chunk1200,Fanout,50,19000,8,40,2311.21,763,59772,36868,36804,1112,64,1208
mixed-audio,Chunk16k,Backlog,50,19000,1,40,376.51,190,36124,29204,29132,1024,64,0
mixed-audio,Chunk16k,Live,50,19000,1,40,501.29,241,37116,29412,29412,1112,64,151
mixed-audio,Chunk16k,Fanout,50,19000,8,40,2171.30,763,59772,36868,36804,1112,64,1208
mixed-video,Owned,Backlog,60,1323008,1,6,243.49,40,12324,8932,8932,0,64,0
mixed-video,Owned,Live,60,1323008,1,6,251.45,41,12516,9124,9124,0,64,61
mixed-video,Owned,Fanout,60,1323008,8,6,1569.37,123,23812,16580,16516,0,64,488
mixed-video,StreamOwned,Backlog,60,1323008,1,6,366.08,100,16644,9004,8932,0,64,0
mixed-video,StreamOwned,Live,60,1323008,1,6,609.56,161,17796,9212,9212,88,64,181
mixed-video,StreamOwned,Fanout,60,1323008,8,6,2359.05,783,43492,16684,16604,88,64,1448
mixed-video,Split,Backlog,60,1323008,1,6,8163.44,203,1574756,1571364,1571364,65656,64,0
mixed-video,Split,Live,60,1323008,1,6,1592.08,324,1576868,1571572,1571572,65656,64,241
mixed-video,Split,Fanout,60,1323008,8,6,11538.23,1426,1613124,1579028,1578964,65656,64,1928
mixed-video,Chunk1200,Backlog,60,1323008,1,6,9055.87,203,1574756,1571364,1571364,65656,64,0
mixed-video,Chunk1200,Live,60,1323008,1,6,5790.39,1339,1593108,1571572,1571572,65656,64,1256
mixed-video,Chunk1200,Fanout,60,1323008,8,6,20419.75,10561,1808004,1579028,1578964,65656,64,10048
mixed-video,Chunk16k,Backlog,60,1323008,1,6,7964.34,222,1374044,1367844,1367844,65656,64,0
mixed-video,Chunk16k,Live,60,1323008,1,6,8169.45,318,1375756,1368052,1368052,65656,64,216
mixed-video,Chunk16k,Fanout,60,1323008,8,6,7911.75,1220,1407612,1375508,1375444,65656,64,1728
